qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q15223032,Jharkhand,24.070000,85.821111,Harihar Dham,,,,ಹರಿಹರ ಧಾಮ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Harihar%20Dham.jpg?width=640,Shiva,,,,,,,,Harihar Dham,,http://commons.wikimedia.org/wiki/Special:FilePath/Harihar%20Dham.jpg?width=640,,,https://en.wikipedia.org/wiki/Harihar_Dham
Q15223867,Himachal Pradesh,32.248030,77.180500,"Hidimba Devi Temple, Dhungri Manali",हिडिम्बा देवी मंदिर,இடும்பி தேவி கோயில்,,ಹಿಡಿಂಬಾ ದೇವಿ ದೇವಾಲಯ,ഹിഡിമ്പി അമ്പലം,হিড়িম্বা দেবী মন্দির,,,હિડિમ્બા દેવી મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Hidimba%20Temple%20Manali.jpg?width=640,,,,,,,Monument of National Importance,,Hidimba Devi Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Hidimba%20Temple%20Manali.jpg?width=640,,,https://en.wikipedia.org/wiki/Hidimba_Devi_Temple
Q15226683,Karnataka,12.877009,77.599670,Hulimavu cave Temple,,குளிமாவு குகைக் கோவில்,హులిమావు గుహ ఆలయం,,,,,,,,Shiva,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Hulimavu_cave_Temple
Q15227685,Maharashtra,18.447846,73.880658,"ISKCON Temple, Pune","इस्कॉन मंदिर, पुणे",,,"ಇಸ್ಕಾನ್ ದೇವಾಲಯ, ಪುಣೆ",,"ইসকন মন্দির, পুনে",,"इस्कॉन मंदिर, पुणे",,http://commons.wikimedia.org/wiki/Special:FilePath/ISKONNVCC%2001.JPG?width=640,,,,,,,,,"ISKCON Temple, Pune",,http://commons.wikimedia.org/wiki/Special:FilePath/ISKONNVCC%2001.JPG?width=640,,,"https://en.wikipedia.org/wiki/ISKCON_Temple,_Pune"
Q15228791,Tamil Nadu,10.228400,78.650400,Irani Kovil,,இரணியூர் ஆட்கொண்டநாதர் கோயில்,,,,,,,,,,,,,,,,,,,,,,
Q15228795,Tamil Nadu,12.845370,79.704812,Iravatanesvara Temple,,காஞ்சிபுரம் இறவாதீசுவரர் கோயில்,జురహరేశ్వర్ దేవాలయం (కాంచీపురం),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Iravadhisvarar%20Temple%20Kanchipuram.jpg?width=640,,,,,,,Monument of National Importance,,Mruthyunjayeswarar Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Iravadhisvarar%20Temple%20Kanchipuram.jpg?width=640,,,
Q15233008,Rajasthan,24.881237,74.644175,Kalika Mata Temple,"कालिका माता मन्दिर ,चित्तौड़गढ़ दुर्ग",,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chittorgarh%2C%20Kalikamata-Tempel%20%281999%29.jpg?width=640,,,,,,,,,"Kalika Mata Temple, Chittorgarh",,http://commons.wikimedia.org/wiki/Special:FilePath/Chittorgarh%2C%20Kalikamata-Tempel%20%281999%29.jpg?width=640,,,"https://en.wikipedia.org/wiki/Kalika_Mata_Temple,_Chittorgarh_Fort"
Q15233884,Rajasthan,27.790556,73.340833,Karni Mata Temple,"करणी माता मन्दिर ,बीकानेर",கர்ணி மாதா கோயில்,కర్ణి మాతా దేవాలయం,ಕರ್ಣಿಮಾತಾ,കർണിമാതാ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20temple%20de%20Karni%20Mata%20%28Deshnoke%29%20%288423353617%29.jpg?width=640,Karni Mata,Hinduism,Mughal architecture,,,,,,Karni Mata Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20temple%20de%20Karni%20Mata%20%28Deshnoke%29%20%288423353617%29.jpg?width=640,,,https://en.wikipedia.org/wiki/Karni_Mata_Temple
Q15239986,,9.233300,79.348000,Kothandaramaswamy Temple,,கோதண்டராமர் கோயில்,కోదండరామ స్వామి దేవాలయం (ధనుష్కోడి),,,,,,,,,,,,,,,,Kothandaramaswamy Temple,,,,,https://en.wikipedia.org/wiki/Kothandaramaswamy_Temple
Q15240792,Tamil Nadu,12.997400,80.096600,Kundrathur Murugan Temple,,குன்றத்தூர் முருகன் கோயில்,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kundrathur_Murugan_Temple
