qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q41946013,Odisha,20.233333,85.816667,Bharateswar Temple,"भरतेश्वर मंदिर, भुवनेश्वर",,భరతేశ్వర్ ఆలయం,"ಭರೇಶ್ವರ ದೇವಸ್ಥಾನ, ಭುವನೇಶ್ವರ",,ভারতেশ্বর মন্দির,"ଭରତେଶ୍ୱର ମନ୍ଦିର, ଭୁବନେଶ୍ୱର","भरतेश्वर मंदिर, भुवनेश्वर",,http://commons.wikimedia.org/wiki/Special:FilePath/Bharateswara%20Temple%2C%20Bhubaneswar%2007.jpg?width=640,Shiva,,Kalinga architecture,,,,,,Bharateswara Temple,https://upload.wikimedia.org/wikipedia/commons/a/a3/Bharateswara_Temple%2C_Bhubaneswar_07.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Bharateswara_Temple%2C_Bhubaneswar_07.jpg,CC BY-SA 4.0,Prateek Pattanaik,https://en.wikipedia.org/wiki/Bharateswar_Temple
Q4500788,Odisha,18.810606,82.709197,"Jagannath Temple, Koraput",,,"జగన్నాథ ఆలయం, కోరాపుట్",,,,"ଜଗନ୍ନାଥ ମନ୍ଦିର, କୋରାପୁଟ",,,http://commons.wikimedia.org/wiki/Special:FilePath/Jagannath%20temple%20of%20Koraput%2003.jpg?width=640,,,,,,,,,"Jagannath Temple, Koraput",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jagannath_temple_of_Koraput_03.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Jagannath_temple_of_Koraput_03.jpg,CC BY-SA 4.0,Drashokk,"https://en.wikipedia.org/wiki/Jagannath_Temple,_Koraput"
Q4500835,Odisha,19.999917,86.194795,Kakatpur Mangala Temple,,,,,,,ମଙ୍ଗଳା ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/MAA%20MANGALA.jpg?width=640,,,,,,,,,"Mangala Temple, Kakatpur",https://upload.wikimedia.org/wikipedia/commons/0/0c/Maa_Mangala.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Maa_Mangala.jpg,CC BY-SA 4.0,Shaktiprasadbarik,"https://en.wikipedia.org/wiki/Maa_Mangala_Mandir,_Kakatpur"
Q4700682,Odisha,20.034308,85.135442,Akhandalamani Temple,,,,,,অখন্ডলামণি মন্দির,ଆଖଣ୍ଡଳମଣି ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Akhandalamani%20Temple%2C%20Aradi%2C%20Bhadrak.jpg?width=640,Shiva,,,,,,State Protected Monument,,"Akhandalamani Temple, Aradi",https://upload.wikimedia.org/wikipedia/commons/e/ed/Akhandalamani_Mandir.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Akhandalamani_Mandir.jpg,CC BY-SA 3.0,Odisha1,https://en.wikipedia.org/wiki/Akhandalamani_Temple
Q4708398,Odisha,19.792792,85.645114,Alarnatha Temple,अलारनाथ मन्दिर,அலர்நாத மந்திர்,,ಅಲ್ರನಾಥ ಮಂದಿರ,,অলারনাথ মন্দির,ଅଲାରନାଥ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%AC%AC%E0%AD%8D%E0%AC%B0%E0%AC%B9%E0%AD%8D%E0%AC%AE%E0%AC%97%E0%AC%BF%E0%AC%B0%E0%AC%BF%E0%AC%A0%E0%AC%BE%E0%AC%B0%E0%AD%87%20%E0%AC%AD%E0%AC%97%E0%AC%AC%E0%AC%BE%E0%AC%A8%20%E0%AC%AC%E0%AC%BF%E0%AC%B7%E0%AD%8D%E0%AC%A3%E0%AD%81%E0%AC%99%E0%AD%8D%E0%AC%95%E0%AC%B0%20%E0%AC%85%E0%AC%B2%E0%AC%BE%E0%AC%B0%E0%AC%A8%E0%AC%BE%E0%AC%A5%20%E0%AC%AE%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AC%BF%E0%AC%B0.jpg?width=640,,,,,,,State Protected Monument,,Alarnatha Mandira,https://upload.wikimedia.org/wikipedia/commons/0/0b/Alarnatha_Mandira.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Alarnatha_Mandira.jpg,CC BY-SA 3.0,Kamalakanta777,https://en.wikipedia.org/wiki/Alarnatha_Mandira
Q4801545,Odisha,20.058500,86.118500,Varahi Deula,,வராகி கோயில்,"బారాహీ దేవాలయం, చౌరాసి",ವಾರಾಹಿ ದೆಕ್ಲ್ಯಾ,വരാഹി ദേവൂല,,ବାରାହୀ ଦେଉଳ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Varahi%20Devi%20Temple%20%2C%20Chaurasi%20.jpg?width=640,,,Kalinga architecture,,,,Monument of National Importance,,"Varahi Deula, Chaurasi",https://upload.wikimedia.org/wikipedia/commons/e/ed/Varahi_Temple_1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Varahi_Temple_1.jpg,CC BY-SA 4.0,Bikash Ojha,"https://en.wikipedia.org/wiki/Varahi_Deula,_Chaurasi"
Q4810570,Odisha,20.250556,85.855000,Astasambhu Siva Temples,अस्थांभू शिव मंदिर,,అష్టశంభు శివ ఆలయాలు,ಅಸ್ತಂಭಂಬ ಶಿವ ದೇವಾಲಯಗಳು,,অষ্টশম্ভু শিবমন্দির,ଅଷ୍ଟଶମ୍ଭୁ ଶିବ ମନ୍ଦିର,अष्टशंभू शिव मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Astasambhu%20Siva%20Temple-I.jpg?width=640,Shiva,,,,,,,,Astasambhu Temple,https://upload.wikimedia.org/wikipedia/commons/8/8d/Astasambhu_Temple_Complex.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Astasambhu_Temple_Complex.jpg,CC BY-SA 4.0,Prateek Pattanaik,https://en.wikipedia.org/wiki/Astasambhu_Siva_Temples
Q4848728,Odisha,20.242429,85.832323,Baitala Deula,वैताळ देउळ,"சாமுண்டி கோயில், ஒடிசா",వైతాళ దేవళం,ಬೈಟಾಲಾ ಡ್ಯೂಲಾ,,বৈতাল দেউল,ବଇତାଳ ଦେଉଳ,वैताळ देउळ),,http://commons.wikimedia.org/wiki/Special:FilePath/Baitala%20Deula%20Bhubaneswar%2036.jpg?width=640,,Hinduism,Kalinga architecture,,,0701-01-01T00:00:00Z,Monument of National Importance,,Vaital Deula,https://upload.wikimedia.org/wikipedia/commons/f/f5/Baitala_Deula_Bhubaneswar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Baitala_Deula_Bhubaneswar_02.jpg,CC BY-SA 4.0,Prateek Pattanaik,https://en.wikipedia.org/wiki/Baitala_Deula
Q4868499,Odisha,20.245833,85.837222,Bata Mahadeva temple,,,,ಬಾತಾ ಮಹಾದೇವ ದೇವಾಲಯ,,বট মহাদেব মন্দির,"ବାଟ ମହାଦେବ, ଭୁବନେଶ୍ଵର",,,http://commons.wikimedia.org/wiki/Special:FilePath/Bata%20Mahadev%20Temple.jpg?width=640,Shiva,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Bata_Mahadev_Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Bata_Mahadev_Temple.jpg,CC BY-SA 4.0,Sushant (Bubby),https://en.wikipedia.org/wiki/Bata_Mahadeva
Q4900554,Odisha,21.015272,86.536720,Bhadrakali Temple,,,,,,,ଭଦ୍ରକାଳୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%AC%86%E0%AC%B9%E0%AC%BE%E0%AC%B0%E0%AC%AA%E0%AC%A6%E0%AC%BE%20%E0%AC%AD%E0%AC%A6%E0%AD%8D%E0%AC%B0%E0%AC%95%E0%AC%BE%E0%AC%B3%E0%AD%80%20%E0%AC%AE%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AC%BF%E0%AC%B0%20%E0%AC%AE%E0%AD%81%E0%AC%96%E0%AD%8D%E0%AD%9F%E0%AC%A6%E0%AD%8D%E0%AD%B1%E0%AC%BE%E0%AC%B0.jpg?width=640,,,,,,,State Protected Monument,,"Bhadrakali Temple, Aharapada",https://upload.wikimedia.org/wikipedia/commons/e/e4/%E0%AC%86%E0%AC%B9%E0%AC%BE%E0%AC%B0%E0%AC%AA%E0%AC%A6%E0%AC%BE_%E0%AC%AD%E0%AC%A6%E0%AD%8D%E0%AC%B0%E0%AC%95%E0%AC%BE%E0%AC%B3%E0%AD%80_%E0%AC%AE%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AC%BF%E0%AC%B0_%E0%AC%AE%E0%AD%81%E0%AC%96%E0%AD%8D%E0%AD%9F%E0%AC%A6%E0%AD%8D%E0%AD%B1%E0%AC%BE%E0%AC%B0.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/%E0%AC%86%E0%AC%B9%E0%AC%BE%E0%AC%B0%E0%AC%AA%E0%AC%A6%E0%AC%BE_%E0%AC%AD%E0%AC%A6%E0%AD%8D%E0%AC%B0%E0%AC%95%E0%AC%BE%E0%AC%B3%E0%AD%80_%E0%AC%AE%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AC%BF%E0%AC%B0_%E0%AC%AE%E0%AD%81%E0%AC%96%E0%AD%8D%E0%AD%9F%E0%AC%A6%E0%AD%8D%E0%AD%B1%E0%AC%BE%E0%AC%B0.jpg,CC BY-SA 4.0,Sangram Keshari Senapati,"https://en.wikipedia.org/wiki/Bhadrakali_Temple,_Aharapada"
